epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9812.64,0.7332,0.50916,0.99418,0.95217,0.91039,0.95484,0.79054,0.62149,0.37001,0.92425,0.005842,0.005842,0.005842
44,10044.4,0.7324,0.51063,0.99344,0.95584,0.90668,0.95445,0.78909,0.61768,0.36503,0.92248,0.005743,0.005743,0.005743
45,10276.1,0.72594,0.50406,0.99161,0.94768,0.90989,0.9544,0.78928,0.61821,0.36477,0.9238,0.005644,0.005644,0.005644
46,10506.5,0.7225,0.49815,0.9902,0.94387,0.91217,0.95406,0.79208,0.61665,0.36498,0.92184,0.005545,0.005545,0.005545
47,10734.6,0.72122,0.49405,0.98736,0.95011,0.91085,0.95623,0.79707,0.61245,0.3606,0.9178,0.005446,0.005446,0.005446
48,10957.5,0.71614,0.48954,0.98462,0.94769,0.91736,0.95654,0.79778,0.61071,0.35753,0.91476,0.005347,0.005347,0.005347
49,11189.6,0.71176,0.48139,0.98371,0.95008,0.91402,0.95702,0.79649,0.61028,0.35364,0.91733,0.005248,0.005248,0.005248
50,11418.1,0.71056,0.48091,0.98314,0.94834,0.9174,0.95699,0.79692,0.61048,0.35104,0.91843,0.005149,0.005149,0.005149
51,11641.5,0.70499,0.47778,0.97809,0.95342,0.9173,0.95775,0.79623,0.60694,0.35161,0.91637,0.00505,0.00505,0.00505
52,11873.6,0.70275,0.47677,0.97859,0.95256,0.91613,0.95867,0.7966,0.60461,0.34964,0.91517,0.004951,0.004951,0.004951
53,12106.4,0.69972,0.47382,0.97577,0.94841,0.9142,0.95818,0.79658,0.6025,0.34836,0.91403,0.004852,0.004852,0.004852
54,12327.7,0.69446,0.4692,0.9747,0.95415,0.91281,0.95765,0.79783,0.60221,0.34891,0.91409,0.004753,0.004753,0.004753
55,12548.6,0.6891,0.46579,0.97358,0.94899,0.91228,0.95747,0.79784,0.60218,0.34736,0.91366,0.004654,0.004654,0.004654
56,12779.5,0.69026,0.46248,0.97268,0.94455,0.91976,0.95781,0.79574,0.60066,0.34495,0.91322,0.004555,0.004555,0.004555
57,13005.6,0.68649,0.46194,0.96889,0.94773,0.91445,0.95755,0.79445,0.60088,0.34467,0.91335,0.004456,0.004456,0.004456
58,13227,0.67864,0.45272,0.96753,0.95062,0.91661,0.95814,0.7982,0.59976,0.3435,0.91309,0.004357,0.004357,0.004357
59,13454.2,0.67945,0.45292,0.96818,0.93689,0.92719,0.95835,0.79808,0.59839,0.3442,0.91303,0.004258,0.004258,0.004258
